timestamp,code,description
1759826788.390013,DERATE_ON,OilTemp 122.3C reached derate threshold
1759826788.891366,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 127.7 C
1759827260.912336,PRESSURE_SPIKE,Pressure spike 382.4 kPa at RPM 5286.9
1759827260.913501,INJECT_OVERSPEED,Injected RPM spike at throttle 0.60
1759827261.414167,PRESSURE_SPIKE,Pressure spike 400.0 kPa at RPM 6050.2
1759827261.915523,PRESSURE_SPIKE,Pressure spike 400.0 kPa at RPM 5806.5
1759827262.416746,PRESSURE_SPIKE,Pressure spike 400.0 kPa at RPM 6148.8
1759827262.417367,INJECT_OVERSPEED,Injected RPM spike at throttle 0.63
1759827262.417645,DERATE_ON,OilTemp 122.3C reached derate threshold
1759827262.918427,PRESSURE_SPIKE,Pressure spike 358.6 kPa at RPM 5611.3
1759827262.919255,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 127.7 C
1759827986.040215,INJECT_OVERSPEED,Injected RPM spike at throttle 0.51
1759827989.044044,DERATE_ON,OilTemp 121.9C reached derate threshold
1759827989.548594,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 126.0 C
1759828338.753870,INJECT_OVERSPEED,Injected RPM spike at throttle 0.51
1759828340.255535,FAN_ON,Fan turned ON at coolant 92.6C oil 103.6C
1759828341.757422,DERATE_ON,OilTemp 121.9C reached derate threshold
1759828342.258666,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 126.0 C
1759829607.966106,FAN_ON,Fan turned ON at coolant 92.1C oil 100.1C
1759829615.279733,DERATE_ON,OilTemp 122.4C reached derate threshold
1759829617.221818,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 126.6 C
1759831060.543277,FAN_ON,Fan turned ON at coolant 94.8C oil 104.3C
1759831060.543661,INJECT_OVERSPEED,Injected RPM spike at throttle 0.57
1759831062.045143,DERATE_ON,OilTemp 124.3C reached derate threshold
1759831062.546286,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 128.7 C
1759831454.254659,CAN_OPEN_FAIL,Failed to open CAN interface vcan0: No module named 'can'
1759831457.847368,FAN_ON,Fan turned ON at coolant 92.1C oil 100.1C
1759831459.848920,DERATE_ON,OilTemp 122.4C reached derate threshold
1759831460.356453,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 126.6 C
1759831513.610111,CAN_OPEN_FAIL,Failed to open CAN interface vcan0: No module named 'can'
1759831517.112964,FAN_ON,Fan turned ON at coolant 92.1C oil 100.1C
1759831519.115282,DERATE_ON,OilTemp 122.4C reached derate threshold
1759831519.616412,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 126.6 C
1759831755.432967,CAN_OPEN_FAIL,Failed to open CAN interface vcan0: No module named 'can'
1759832198.683361,FAN_ON,Fan turned ON at coolant 94.8C oil 104.3C
1759832198.684001,INJECT_OVERSPEED,Injected RPM spike at throttle 0.57
1759832200.185621,DERATE_ON,OilTemp 124.3C reached derate threshold
1759832200.686829,CRITICAL_OIL_TEMP,CRITICAL: OilTemp exceeded 125.0 C: 128.7 C
